distance_m,speed_kmh,ax_g,battery_power_kw,soc_pct,motor_temp_c,limiting_factor
0.0000,120.0000,0.0000,30.0651,100.0000,25.0000,cruise
0.5002,120.0000,0.0000,30.0651,99.9986,25.0041,cruise
1.0004,120.0000,0.0000,30.0651,99.9971,25.0082,cruise
1.5006,120.0000,0.0000,30.0651,99.9957,25.0122,cruise
2.0007,120.0000,0.0000,30.0651,99.9943,25.0163,cruise
2.5009,120.0000,0.0000,30.0651,99.9928,25.0204,cruise
3.0011,120.0000,0.0000,30.0651,99.9914,25.0245,cruise
3.5013,120.0000,0.0000,30.0651,99.9900,25.0286,cruise
4.0015,120.0000,0.0000,30.0651,99.9885,25.0326,cruise
4.5017,120.0000,0.0000,30.0651,99.9871,25.0367,cruise
5.0018,120.0000,0.0000,30.0651,99.9857,25.0408,cruise
5.5020,120.0000,0.0000,30.0651,99.9842,25.0449,cruise
6.0022,120.0000,0.0000,30.0651,99.9828,25.0489,cruise
6.5024,120.0000,0.0000,30.0651,99.9814,25.0530,cruise
7.0026,120.0000,0.0000,30.0651,99.9799,25.0571,cruise
7.5028,120.0000,0.0000,30.0651,99.9785,25.0612,cruise
8.0029,120.0000,0.0000,30.0651,99.9771,25.0652,cruise
8.5031,120.0000,0.0000,30.0651,99.9757,25.0693,cruise
9.0033,120.0000,0.0000,30.0651,99.9742,25.0734,cruise
9.5035,120.0000,0.0000,30.0651,99.9728,25.0775,cruise
10.0037,120.0000,0.0000,30.0651,99.9714,25.0815,cruise
10.5039,120.0000,0.0000,30.0651,99.9699,25.0856,cruise
11.0041,120.0000,0.0000,30.0651,99.9685,25.0897,cruise
11.5042,120.0000,0.0000,30.0651,99.9671,25.0937,cruise
12.0044,120.0000,0.0000,30.0651,99.9656,25.0978,cruise
12.5046,120.0000,0.0000,30.0651,99.9642,25.1019,cruise
13.0048,120.0000,0.0000,30.0651,99.9628,25.1059,cruise
13.5050,120.0000,0.0000,30.0651,99.9613,25.1100,cruise
14.0052,120.0000,0.0000,30.0651,99.9599,25.1140,cruise
14.5053,120.0000,0.0000,30.0651,99.9585,25.1181,cruise
15.0055,120.0000,0.0000,30.0651,99.9570,25.1222,cruise
15.5057,120.0000,0.0000,30.0651,99.9556,25.1262,cruise
16.0059,120.0000,0.0000,30.0651,99.9542,25.1303,cruise
16.5061,120.0000,0.0000,30.0651,99.9527,25.1343,cruise
